Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,WILEY,1354-1013,1365-2486,BIODIVERSITY CONSERVATION,SCIE,68820,10.8,Q1,2.5,39.19%
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,WILEY,1354-1013,1365-2486,ECOLOGY,SCIE,68820,10.8,Q1,2.5,39.19%
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,WILEY,1354-1013,1365-2486,ENVIRONMENTAL SCIENCES,SCIE,68820,10.8,Q1,2.5,39.19%
ENVIRONMENTAL SCIENCE & TECHNOLOGY,ENVIRON SCI TECHNOL,AMER CHEMICAL SOC,0013-936X,1520-5851,ENVIRONMENTAL SCIENCES,SCIE,239936,10.8,Q1,1.56,13.80%
DEVELOPMENTAL CELL,DEV CELL,CELL PRESS,1534-5807,1878-1551,CELL BIOLOGY,SCIE,33248,10.7,Q1,2.4,80.45%
DEVELOPMENTAL CELL,DEV CELL,CELL PRESS,1534-5807,1878-1551,DEVELOPMENTAL BIOLOGY,SCIE,33248,10.7,Q1,2.4,80.45%
Redox Biology,REDOX BIOL,ELSEVIER,2213-2317,2213-2317,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,28038,10.7,Q1,2.07,95.73%
Journal of Materials Chemistry A,J MATER CHEM A,ROYAL SOC CHEMISTRY,2050-7488,2050-7496,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,211134,10.7,Q1,1.59,10.24%
EcoMat,ECOMAT,WILEY,N/A,2567-3173,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2935,10.7,Q1,1.49,91.20%
Small Methods,SMALL METHODS,WILEY-V C H VERLAG GMBH,2366-9608,2366-9608,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,17178,10.7,Q1,1.3,16.90%
Molecular Horticulture,MOL HORTIC,SPRINGERNATURE,2730-9401,2730-9401,PLANT SCIENCES,ESCI,325,10.6,Q1,1.58,100.00%
Annual Review of Materials Research,ANNU REV MATER RES,ANNUAL REVIEWS,1531-7331,1545-4118,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,8347,10.6,Q1,0.6,33.90%
CARBON,CARBON,PERGAMON-ELSEVIER SCIENCE LTD,0008-6223,1873-3891,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,98620,10.5,Q1,1.78,16.08%
npj Clean Water,NPJ CLEAN WATER,NATURE PORTFOLIO,2059-7037,2059-7037,ENVIRONMENTAL SCIENCES,SCIE,2563,10.4,Q1,1.47,99.46%
Additive Manufacturing,ADDIT MANUF,ELSEVIER,2214-8604,2214-7810,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,38388,10.3,Q1,1.95,34.84%
ENVIRONMENT INTERNATIONAL,ENVIRON INT,PERGAMON-ELSEVIER SCIENCE LTD,0160-4120,1873-6750,ENVIRONMENTAL SCIENCES,SCIE,62853,10.3,Q1,1.9,96.98%
Virtual and Physical Prototyping,VIRTUAL PHYS PROTOTY,TAYLOR & FRANCIS LTD,1745-2759,1745-2767,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,3479,10.2,Q1,1.86,74.12%
NATURAL PRODUCT REPORTS,NAT PROD REP,ROYAL SOC CHEMISTRY,0265-0568,1460-4752,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,12999,10.2,Q1,1.47,24.43%
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,1552-9924,ENVIRONMENTAL SCIENCES,SCIE,39172,10.1,Q1,2.41,88.74%
ENVIRONMENTAL HEALTH PERSPECTIVES,ENVIRON HEALTH PERSP,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,1552-9924,TOXICOLOGY,SCIE,39172,10.1,Q1,2.41,88.74%
PLANT BIOTECHNOLOGY JOURNAL,PLANT BIOTECHNOL J,WILEY,1467-7644,1467-7652,PLANT SCIENCES,SCIE,18272,10.1,Q1,2.34,77.93%
PLANT CELL,PLANT CELL,OXFORD UNIV PRESS INC,1040-4651,1532-298X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,60657,10,Q1,2.23,39.09%
PLANT CELL,PLANT CELL,OXFORD UNIV PRESS INC,1040-4651,1532-298X,CELL BIOLOGY,SCIE,60657,10,Q1,2.23,39.09%
PLANT CELL,PLANT CELL,OXFORD UNIV PRESS INC,1040-4651,1532-298X,PLANT SCIENCES,SCIE,60657,10,Q1,2.23,39.09%
Materials Today Physics,MATER TODAY PHYS,ELSEVIER,2542-5293,2542-5293,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,8642,10,Q1,2.08,12.58%
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,WILEY,1540-9295,1540-9309,ECOLOGY,SCIE,12936,10,Q1,1.88,55.09%
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,WILEY,1540-9295,1540-9309,ENVIRONMENTAL SCIENCES,SCIE,12936,10,Q1,1.88,55.09%
Journal of Econometrics,J ECONOMETRICS,ELSEVIER SCIENCE SA,0304-4076,1872-6895,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,29126,9.9,Q1,2.38,21.26%
Advanced Industrial and Engineering Polymer Research,ADV IND ENG POLY RES,KEAI PUBLISHING LTD,2542-5048,2542-5048,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,1414,9.9,Q1,1.3,78.05%
Environmental Impact Assessment Review,ENVIRON IMPACT ASSES,ELSEVIER SCIENCE INC,0195-9255,1873-6432,ENVIRONMENTAL STUDIES,SSCI,10187,9.8,Q1,2.17,13.68%
BIORESOURCE TECHNOLOGY,BIORESOURCE TECHNOL,ELSEVIER SCI LTD,0960-8524,1873-2976,AGRICULTURAL ENGINEERING,SCIE,167707,9.7,Q1,1.76,9.18%
Journal of Cleaner Production,J CLEAN PROD,ELSEVIER SCI LTD,0959-6526,1879-1786,ENVIRONMENTAL SCIENCES,SCIE,317153,9.7,Q1,1.52,14.15%
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,BBA-REV CANCER,ELSEVIER,0304-419X,1879-2561,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,9799,9.7,Q1,1.33,22.22%
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,ARCH COMPUT METHOD E,SPRINGER,1134-3060,1886-1784,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,8304,9.7,Q1,1.27,15.15%
MOLECULAR PSYCHIATRY,MOL PSYCHIATR,SPRINGERNATURE,1359-4184,1476-5578,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,34241,9.6,Q1,2.26,51.69%
NANO LETTERS,NANO LETT,AMER CHEMICAL SOC,1530-6984,1530-6992,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,159730,9.6,Q1,1.76,10.53%
ACS Materials Letters,ACS MATER LETT,AMER CHEMICAL SOC,N/A,2639-4979,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,8571,9.6,Q1,1.59,5.52%
RARE METALS,RARE METALS,NONFERROUS METALS SOC CHINA,1001-0521,1867-7185,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,11256,9.6,Q1,1.42,0.77%
EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,SPRINGERNATURE,1226-3613,2092-6413,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,15135,9.5,Q1,1.72,99.82%
Nano Research,NANO RES,TSINGHUA UNIV PRESS,1998-0124,1998-0000,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,43765,9.5,Q1,1.54,2.84%
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,NATL ACAD SCIENCES,0027-8424,1091-6490,MULTIDISCIPLINARY SCIENCES,SCIE,730197,9.4,Q1,2.39,77.30%
INTERNATIONAL JOURNAL OF PLASTICITY,INT J PLASTICITY,PERGAMON-ELSEVIER SCIENCE LTD,0749-6419,1879-2154,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,19968,9.4,Q1,2.32,21.12%
Plant Communications,PLANT COMMUN,CELL PRESS,2590-3462,2590-3462,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,2246,9.4,Q1,1.77,96.79%
Plant Communications,PLANT COMMUN,CELL PRESS,2590-3462,2590-3462,PLANT SCIENCES,SCIE,2246,9.4,Q1,1.77,96.79%
EMBO JOURNAL,EMBO J,WILEY,0261-4189,1460-2075,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,63359,9.4,Q1,1.71,65.13%
EMBO JOURNAL,EMBO J,WILEY,0261-4189,1460-2075,CELL BIOLOGY,SCIE,63359,9.4,Q1,1.71,65.13%
npj Computational Materials,NPJ COMPUT MATER,NATURE PORTFOLIO,N/A,2057-3960,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,11944,9.4,Q1,1.5,99.71%
Wiley Interdisciplinary Reviews-Climate Change,WIRES CLIM CHANGE,WILEY,1757-7780,1757-7799,ENVIRONMENTAL STUDIES,SSCI,7176,9.4,Q1,1.33,57.79%
PRX Quantum,PRX QUANTUM,AMER PHYSICAL SOC,N/A,2691-3399,"PHYSICS, MULTIDISCIPLINARY",SCIE,4957,9.3,Q1,2.4,96.40%
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ENVIRONMENTAL SCIENCES,SCIE,67144,9.3,Q1,1.99,30.21%
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ENVIRONMENTAL STUDIES,SSCI,67144,9.3,Q1,1.99,30.21%
Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,WILEY,1672-9072,1744-7909,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,10690,9.3,Q1,1.96,24.51%
Journal of Integrative Plant Biology,J INTEGR PLANT BIOL,WILEY,1672-9072,1744-7909,PLANT SCIENCES,SCIE,10690,9.3,Q1,1.96,24.51%
CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,ELSEVIER SCI LTD,1359-6101,1879-0305,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,7894,9.3,Q1,1.34,25.00%
CYTOKINE & GROWTH FACTOR REVIEWS,CYTOKINE GROWTH F R,ELSEVIER SCI LTD,1359-6101,1879-0305,CELL BIOLOGY,SCIE,7894,9.3,Q1,1.34,25.00%
CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,BMC,1425-8153,1689-1392,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,4030,9.2,Q1,1.48,100.00%
CELLULAR & MOLECULAR BIOLOGY LETTERS,CELL MOL BIOL LETT,BMC,1425-8153,1689-1392,CELL BIOLOGY,SCIE,4030,9.2,Q1,1.48,100.00%
npj Urban Sustainability,NPJ URBAN SUSTAIN,SPRINGERNATURE,N/A,2661-8001,ENVIRONMENTAL STUDIES,ESCI,666,9.1,Q1,2.04,100.00%
npj 2D Materials and Applications,NPJ 2D MATER APPL,NATURE PORTFOLIO,N/A,2397-7132,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,3863,9.1,Q1,1.39,100.00%
Annual Review of Phytopathology,ANNU REV PHYTOPATHOL,ANNUAL REVIEWS,0066-4286,1545-2107,PLANT SCIENCES,SCIE,9153,9.1,Q1,1.09,32.08%
Current Forestry Reports,CURR FOR REP,SPRINGER INT PUBL AG,2198-6436,2198-6436,FORESTRY,SCIE,1650,9,Q1,2.75,56.76%
Environmental Chemistry and Ecotoxicology,ENVIRON CHEM ECOTOX,KEAI PUBLISHING LTD,N/A,2590-1826,ENVIRONMENTAL SCIENCES,ESCI,711,9,Q1,1.67,100.00%
Environmental Chemistry and Ecotoxicology,ENVIRON CHEM ECOTOX,KEAI PUBLISHING LTD,N/A,2590-1826,TOXICOLOGY,ESCI,711,9,Q1,1.67,100.00%
Cell Systems,CELL SYST,CELL PRESS,2405-4712,2405-4720,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,9272,9,Q1,1.57,80.36%
Cell Systems,CELL SYST,CELL PRESS,2405-4712,2405-4720,CELL BIOLOGY,SCIE,9272,9,Q1,1.57,80.36%
Materials Today Energy,MATER TODAY ENERGY,ELSEVIER SCI LTD,2468-6069,2468-6069,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,9881,9,Q1,1.43,9.65%
JOURNAL OF BIOMEDICAL SCIENCE,J BIOMED SCI,BMC,1021-7770,1423-0127,CELL BIOLOGY,SCIE,9105,9,Q1,1.42,99.29%
Battery Energy,BATTERY ENERGY,WILEY,2768-1688,2768-1696,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,540,9,Q1,1.12,96.15%
Environmental Science & Technology Letters,ENVIRON SCI TECH LET,AMER CHEMICAL SOC,2328-8930,N/A,ENVIRONMENTAL SCIENCES,SCIE,9967,8.9,Q1,1.49,17.55%
Journal of Remote Sensing,J REMOTE SENS-PRC,AMER ASSOC ADVANCEMENT SCIENCE,N/A,2694-1589,ENVIRONMENTAL SCIENCES,ESCI,527,8.8,Q1,1.3,90.28%
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,ANNUAL REVIEWS,2165-8102,2165-8110,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",SCIE,1987,8.7,Q1,4.63,32.76%
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,ANNUAL REVIEWS,2165-8102,2165-8110,ZOOLOGY,SCIE,1987,8.7,Q1,4.63,32.76%
MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,ELSEVIER,0098-2997,1872-9452,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,8966,8.7,Q1,1.31,36.78%
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,ENVIRONMENTAL SCIENCES,SCIE,24192,8.6,Q1,2.37,56.97%
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,GLOBAL ENVIRON CHANG,ELSEVIER SCI LTD,0959-3780,1872-9495,ENVIRONMENTAL STUDIES,SSCI,24192,8.6,Q1,2.37,56.97%
Materials Research Letters,MATER RES LETT,TAYLOR & FRANCIS INC,2166-3831,2166-3831,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,5314,8.6,Q1,1.53,98.37%
Sustainable Materials and Technologies,SUSTAIN MATER TECHNO,ELSEVIER,2214-9937,2214-9937,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,5839,8.6,Q1,1.45,19.06%
Journal of Nanostructure in Chemistry,J NANOSTRUCTURE CHEM,SPRINGER HEIDELBERG,2008-9244,2193-8865,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,3203,8.6,Q1,1.38,8.75%
NPG Asia Materials,NPG ASIA MATER,NATURE PORTFOLIO,1884-4049,1884-4057,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,7523,8.6,Q1,1.27,99.59%
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,REV ENVIRON SCI BIO,SPRINGER,1569-1705,1572-9826,ENVIRONMENTAL SCIENCES,SCIE,5115,8.6,Q1,1.1,23.21%
Molecular Systems Biology,MOL SYST BIOL,SPRINGERNATURE,1744-4292,1744-4292,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,9948,8.5,Q1,1.74,55.50%
Research,RESEARCH-CHINA,AMER ASSOC ADVANCEMENT SCIENCE,2096-5168,2639-5274,MULTIDISCIPLINARY SCIENCES,SCIE,5868,8.5,Q1,1.58,92.15%
Journal of Materiomics,J MATERIOMICS,ELSEVIER,2352-8478,2352-8478,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,5052,8.4,Q1,1.6,96.08%
NEW PHYTOLOGIST,NEW PHYTOL,WILEY,0028-646X,1469-8137,PLANT SCIENCES,SCIE,83074,8.3,Q1,2.13,37.11%
ACTA MATERIALIA,ACTA MATER,PERGAMON-ELSEVIER SCIENCE LTD,1359-6454,1873-2453,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,113518,8.3,Q1,1.9,38.09%
Corporate Social Responsibility and Environmental Management,CORP SOC RESP ENV MA,WILEY,1535-3958,1535-3966,ENVIRONMENTAL STUDIES,SSCI,12291,8.3,Q1,1.87,29.40%
ACS Applied Materials & Interfaces,ACS APPL MATER INTER,AMER CHEMICAL SOC,1944-8244,1944-8252,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,364612,8.3,Q1,1.4,6.13%
CURRENT OPINION IN PLANT BIOLOGY,CURR OPIN PLANT BIOL,CURRENT BIOLOGY LTD,1369-5266,1879-0356,PLANT SCIENCES,SCIE,17340,8.3,Q1,1,47.84%
International Journal of Biological Sciences,INT J BIOL SCI,IVYSPRING INT PUBL,1449-2288,1449-2288,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,17365,8.2,Q1,1.87,99.05%
Artificial Intelligence in Agriculture,ARTIF INTELL AGR,KEAI PUBLISHING LTD,N/A,2589-7217,"AGRICULTURE, MULTIDISCIPLINARY",ESCI,981,8.2,Q1,1.77,98.73%
Science of The Total Environment,SCI TOTAL ENVIRON,ELSEVIER,0048-9697,1879-1026,ENVIRONMENTAL SCIENCES,SCIE,394564,8.2,Q1,1.62,20.51%
Materials Today Nano,MATER TODAY NANO,ELSEVIER,2588-8420,2588-8420,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2934,8.2,Q1,1.24,11.63%
Cell Communication and Signaling,CELL COMMUN SIGNAL,BMC,N/A,1478-811X,CELL BIOLOGY,SCIE,8710,8.2,Q1,1,100.00%
PHYSICAL REVIEW LETTERS,PHYS REV LETT,AMER PHYSICAL SOC,0031-9007,1079-7114,"PHYSICS, MULTIDISCIPLINARY",SCIE,471243,8.1,Q1,2.25,26.19%
Communications Earth & Environment,COMMUN EARTH ENVIRON,SPRINGERNATURE,N/A,2662-4435,ENVIRONMENTAL SCIENCES,SCIE,5591,8.1,Q1,1.85,99.80%
Chemosphere,CHEMOSPHERE,PERGAMON-ELSEVIER SCIENCE LTD,0045-6535,1879-1298,ENVIRONMENTAL SCIENCES,SCIE,194561,8.1,Q1,1.58,11.26%
CURRENT BIOLOGY,CURR BIOL,CELL PRESS,0960-9822,1879-0445,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,76536,8.1,Q1,1.58,82.44%
CURRENT BIOLOGY,CURR BIOL,CELL PRESS,0960-9822,1879-0445,BIOLOGY,SCIE,76536,8.1,Q1,1.58,82.44%
CURRENT BIOLOGY,CURR BIOL,CELL PRESS,0960-9822,1879-0445,CELL BIOLOGY,SCIE,76536,8.1,Q1,1.58,82.44%
Materials Today Advances,MATER TODAY ADV,ELSEVIER,2590-0498,2590-0498,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2984,8.1,Q1,1.4,94.46%
JOURNAL OF POWER SOURCES,J POWER SOURCES,ELSEVIER,0378-7753,1873-2755,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,143750,8.1,Q1,1.33,15.86%
Cell Death & Disease,CELL DEATH DIS,SPRINGERNATURE,2041-4889,2041-4889,CELL BIOLOGY,SCIE,60695,8.1,Q1,1.24,99.69%
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,CRIT REV SOLID STATE,TAYLOR & FRANCIS INC,1040-8436,1547-6561,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2609,8.1,Q1,0.51,6.25%
Science China-Life Sciences,SCI CHINA LIFE SCI,SCIENCE PRESS,1674-7305,1869-1889,BIOLOGY,SCIE,7888,8,Q1,1.87,2.36%
Advanced Optical Materials,ADV OPT MATER,WILEY-V C H VERLAG GMBH,2195-1071,2195-1071,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,38352,8,Q1,1.75,16.01%
AGING CELL,AGING CELL,WILEY,1474-9718,1474-9726,CELL BIOLOGY,SCIE,17555,8,Q1,1.61,72.09%
Journal of Environmental Management,J ENVIRON MANAGE,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0301-4797,1095-8630,ENVIRONMENTAL SCIENCES,SCIE,110283,8,Q1,1.49,16.50%
PROGRESS IN PHOTOVOLTAICS,PROG PHOTOVOLTAICS,WILEY,1062-7995,1099-159X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,7872,8,Q1,1.36,40.13%
Energy Nexus,ENERGY NEXUS,ELSEVIER,2772-4271,2772-4271,ENVIRONMENTAL SCIENCES,ESCI,1345,8,Q1,1.27,92.02%
Nanoscale Horizons,NANOSCALE HORIZ,ROYAL SOC CHEMISTRY,2055-6756,2055-6764,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,5600,8,Q1,1.08,21.90%
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,ELSEVIER,0169-2046,1872-6062,ECOLOGY,SCIE,28158,7.9,Q1,2.37,41.24%
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,ELSEVIER,0169-2046,1872-6062,ENVIRONMENTAL STUDIES,SSCI,28158,7.9,Q1,2.37,41.24%
Cell Reports Physical Science,CELL REP PHYS SCI,CELL PRESS,N/A,2666-3864,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,8382,7.9,Q1,1.46,98.54%
Cell Reports Physical Science,CELL REP PHYS SCI,CELL PRESS,N/A,2666-3864,"PHYSICS, MULTIDISCIPLINARY",SCIE,8382,7.9,Q1,1.46,98.54%
Current Opinion in Electrochemistry,CURR OPIN ELECTROCHE,ELSEVIER,2451-9103,2451-9103,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,7934,7.9,Q1,0.55,27.60%
PLOS BIOLOGY,PLOS BIOL,PUBLIC LIBRARY SCIENCE,1544-9173,1545-7885,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,38680,7.8,Q1,2.03,97.03%
PLOS BIOLOGY,PLOS BIOL,PUBLIC LIBRARY SCIENCE,1544-9173,1545-7885,BIOLOGY,SCIE,38680,7.8,Q1,2.03,97.03%
Review of Environmental Economics and Policy,REV ENV ECON POLICY,UNIV CHICAGO PRESS,1750-6816,1750-6824,ENVIRONMENTAL STUDIES,SSCI,2106,7.8,Q1,1.82,5.08%
COMPUTERS AND ELECTRONICS IN AGRICULTURE,COMPUT ELECTRON AGR,ELSEVIER SCI LTD,0168-1699,1872-7107,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,37392,7.7,Q1,2.07,16.52%
Information Processing in Agriculture,INFORM PROCESS AGR,ELSEVIER,2214-3173,2214-3173,"AGRICULTURE, MULTIDISCIPLINARY",ESCI,2573,7.7,Q1,2.03,96.30%
ENVIRONMENTAL RESEARCH,ENVIRON RES,ACADEMIC PRESS INC ELSEVIER SCIENCE,0013-9351,1096-0953,ENVIRONMENTAL SCIENCES,SCIE,69609,7.7,Q1,1.98,16.39%
Conservation Letters,CONSERV LETT,WILEY,1755-263X,1755-263X,BIODIVERSITY CONSERVATION,SCIE,6064,7.7,Q1,1.9,82.17%
International Journal of Biological Macromolecules,INT J BIOL MACROMOL,ELSEVIER,0141-8130,1879-0003,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,153193,7.7,Q1,1.47,5.54%
Advances in Physics-X,ADV PHYS-X,TAYLOR & FRANCIS LTD,2374-6149,2374-6149,"PHYSICS, MULTIDISCIPLINARY",SCIE,1970,7.7,Q1,0.74,99.06%
Horticulture Research,HORTIC RES-ENGLAND,OXFORD UNIV PRESS INC,2662-6810,2052-7276,PLANT SCIENCES,SCIE,9137,7.6,Q1,2.21,96.54%
BIOSCIENCE,BIOSCIENCE,OXFORD UNIV PRESS,0006-3568,1525-3244,BIOLOGY,SCIE,20370,7.6,Q1,2.17,43.04%
ECOLOGY LETTERS,ECOL LETT,WILEY,1461-023X,1461-0248,ECOLOGY,SCIE,38664,7.6,Q1,2.12,38.69%
Plant Phenomics,PLANT PHENOMICS,AMER ASSOC ADVANCEMENT SCIENCE,2643-6515,2643-6515,AGRONOMY,SCIE,943,7.6,Q1,1.71,94.19%
Plant Phenomics,PLANT PHENOMICS,AMER ASSOC ADVANCEMENT SCIENCE,2643-6515,2643-6515,PLANT SCIENCES,SCIE,943,7.6,Q1,1.71,94.19%
ENVIRONMENTAL POLLUTION,ENVIRON POLLUT,ELSEVIER SCI LTD,0269-7491,1873-6424,ENVIRONMENTAL SCIENCES,SCIE,126553,7.6,Q1,1.5,15.60%
MATERIALS & DESIGN,MATER DESIGN,ELSEVIER SCI LTD,0264-1275,1873-4197,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,88486,7.6,Q1,1.37,96.96%
GENES & DEVELOPMENT,GENE DEV,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",0890-9369,1549-5477,CELL BIOLOGY,SCIE,46711,7.5,Q1,1.86,98.19%
GENES & DEVELOPMENT,GENE DEV,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",0890-9369,1549-5477,DEVELOPMENTAL BIOLOGY,SCIE,46711,7.5,Q1,1.86,98.19%
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NEUROSCI BIOBEHAV R,PERGAMON-ELSEVIER SCIENCE LTD,0149-7634,1873-7528,BEHAVIORAL SCIENCES,SCIE,40527,7.5,Q1,1.49,40.56%
Cell Reports,CELL REP,CELL PRESS,2211-1247,2211-1247,CELL BIOLOGY,SCIE,93625,7.5,Q1,1.29,92.26%
Communications Materials,COMMUN MATER,SPRINGERNATURE,N/A,2662-4443,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,2647,7.5,Q1,1.27,100.00%
Annual Review of Statistics and Its Application,ANNU REV STAT APPL,ANNUAL REVIEWS,2326-8298,2326-831X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,1686,7.4,Q1,3.07,40.54%
CORROSION SCIENCE,CORROS SCI,PERGAMON-ELSEVIER SCIENCE LTD,0010-938X,1879-0496,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,63762,7.4,Q1,1.66,13.94%
Construction and Building Materials,CONSTR BUILD MATER,ELSEVIER SCI LTD,0950-0618,1879-0526,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,228428,7.4,Q1,1.43,8.67%
JOURNAL OF CELL BIOLOGY,J CELL BIOL,ROCKEFELLER UNIV PRESS,0021-9525,1540-8140,CELL BIOLOGY,SCIE,59898,7.4,Q1,1.08,94.29%
SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,SCI TECHNOL ADV MAT,TAYLOR & FRANCIS LTD,1468-6996,1878-5514,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,7058,7.4,Q1,0.85,96.09%
PHYTOCHEMISTRY REVIEWS,PHYTOCHEM REV,SPRINGER,1568-7767,1572-980X,PLANT SCIENCES,SCIE,5443,7.3,Q1,1.77,28.48%
Earths Future,EARTHS FUTURE,AMER GEOPHYSICAL UNION,N/A,2328-4277,ENVIRONMENTAL SCIENCES,SCIE,8605,7.3,Q1,1.69,78.77%
